,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
1,Barrow,0,US,1667251194,84,71.2906,-156.7887,252.16,6.69
2,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
3,Cabo Rojo,45,PR,1667251250,86,18.0866,-67.1457,301.89,3.73
4,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
5,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
6,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
7,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
8,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
9,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
10,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
11,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
12,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
13,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
14,Cabo Rojo,45,PR,1667251250,86,18.0866,-67.1457,301.89,3.73
15,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
16,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
17,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
18,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
19,Cabo Rojo,45,PR,1667251250,86,18.0866,-67.1457,301.89,3.73
20,Barrow,0,US,1667251194,84,71.2906,-156.7887,252.16,6.69
21,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
22,Barrow,0,US,1667251194,84,71.2906,-156.7887,252.16,6.69
23,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
24,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
25,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
26,Barrow,0,US,1667251194,84,71.2906,-156.7887,252.16,6.69
